pair_id,domain,defense_name,attack_tier,initial_score,final_score,score_drop,threshold,fidelity_score,fidelity_threshold,is_evasive,passes_fidelity,is_fper,queries_consumed,source_text,initial_suspect_text,final_paraphrase_text,num_trajectory_steps
LEGAL_001,legal,D1_SBERT,Tier1_Static,0.7742,0.7655,0.0087,0.75,0.7574,0.75,False,True,False,2,"The defendant employer failed to provide adequate occupational safety equipment mandated by Article 157 of the Labor Code, directly causing the plaintiff's industrial injury. The regional labor tribunal holds the employer strictly liable for compensatory damages, medical reimbursement, and moral damages. (Case Record BR-TRT-2021-0001).","The respondent corporation neglected statutory safety obligations under Article 157 of the Labor Regulations, which was the proximate cause of petitioner's injury. The labor court establishes strict employer liability for pecuniary restitution, medical costs, and moral pain. (Jurisprudential Appeal TRT-2021-0001).","The respondent company disregarded statutory safety obligations under Article 157 of the Labor Regulations, which was the initiating cause of petitioner's injury. The labor court decrees strict employer liability for financial reimbursement, medical costs, and moral pain. (Jurisprudential Appeal TRT-2021-0001).",1
LEGAL_001,legal,D1_SBERT,Tier2_Saliency,0.7742,0.7609,0.0133,0.75,0.764,0.75,False,True,False,50,"The defendant employer failed to provide adequate occupational safety equipment mandated by Article 157 of the Labor Code, directly causing the plaintiff's industrial injury. The regional labor tribunal holds the employer strictly liable for compensatory damages, medical reimbursement, and moral damages. (Case Record BR-TRT-2021-0001).","The respondent corporation neglected statutory safety obligations under Article 157 of the Labor Regulations, which was the proximate cause of petitioner's injury. The labor court establishes strict employer liability for pecuniary restitution, medical costs, and moral pain. (Jurisprudential Appeal TRT-2021-0001).","The respondent organization failed to fulfill statutory safety obligations under Article 157 of the Labor Regulations, which was the initiating cause of petitioner's injury. The labor court decrees strict employer liability for financial reimbursement, medical costs, and moral pain. (Jurisprudential Appeal TRT-2021-0001).",6
LEGAL_001,legal,D1_SBERT,Corpus_Adversarial,0.7742,0.7675,0.0068,0.75,0.7664,0.75,False,True,False,2,"The defendant employer failed to provide adequate occupational safety equipment mandated by Article 157 of the Labor Code, directly causing the plaintiff's industrial injury. The regional labor tribunal holds the employer strictly liable for compensatory damages, medical reimbursement, and moral damages. (Case Record BR-TRT-2021-0001).","The respondent corporation neglected statutory safety obligations under Article 157 of the Labor Regulations, which was the proximate cause of petitioner's injury. The labor court establishes strict employer liability for pecuniary restitution, medical costs, and moral pain. (Jurisprudential Appeal TRT-2021-0001).","In judicial appeal #0001, The respondent corporation neglected statutory safety obligations under Article 157 of the Labor Regulations, which was the proximate cause of petitioner's injury. The labor court establishes strict employer liability for pecuniary restitution, medical costs, and moral pain. (Jurisprudential Appeal TRT-2021-0001).",1
LEGAL_001,legal,D2_SimCSE,Tier1_Static,0.8931,0.9087,-0.0156,0.75,0.7581,0.75,False,True,False,2,"The defendant employer failed to provide adequate occupational safety equipment mandated by Article 157 of the Labor Code, directly causing the plaintiff's industrial injury. The regional labor tribunal holds the employer strictly liable for compensatory damages, medical reimbursement, and moral damages. (Case Record BR-TRT-2021-0001).","The respondent corporation neglected statutory safety obligations under Article 157 of the Labor Regulations, which was the proximate cause of petitioner's injury. The labor court establishes strict employer liability for pecuniary restitution, medical costs, and moral pain. (Jurisprudential Appeal TRT-2021-0001).","The respondent company omitted statutory safety obligations under Article 157 of the Labor Regulations, which was the primary determinant of petitioner's injury. The labor court adjudicates strict employer liability for damages award, medical costs, and moral pain. (Jurisprudential Appeal TRT-2021-0001).",1
LEGAL_001,legal,D2_SimCSE,Tier2_Saliency,0.8931,0.8619,0.0312,0.75,0.7617,0.75,False,True,False,50,"The defendant employer failed to provide adequate occupational safety equipment mandated by Article 157 of the Labor Code, directly causing the plaintiff's industrial injury. The regional labor tribunal holds the employer strictly liable for compensatory damages, medical reimbursement, and moral damages. (Case Record BR-TRT-2021-0001).","The respondent corporation neglected statutory safety obligations under Article 157 of the Labor Regulations, which was the proximate cause of petitioner's injury. The labor court establishes strict employer liability for pecuniary restitution, medical costs, and moral pain. (Jurisprudential Appeal TRT-2021-0001).","The respondent organization omitted statutory safety obligations under Article 157 of the Labor Regulations, which was the proximate cause of petitioner's injury. Medical costs, and moral pain., the labor court affirms strict employer liability for financial reimbursement (Jurisprudential Appeal TRT-2021-0001).",6
LEGAL_001,legal,D2_SimCSE,Corpus_Adversarial,0.8931,0.8823,0.0108,0.75,0.7664,0.75,False,True,False,2,"The defendant employer failed to provide adequate occupational safety equipment mandated by Article 157 of the Labor Code, directly causing the plaintiff's industrial injury. The regional labor tribunal holds the employer strictly liable for compensatory damages, medical reimbursement, and moral damages. (Case Record BR-TRT-2021-0001).","The respondent corporation neglected statutory safety obligations under Article 157 of the Labor Regulations, which was the proximate cause of petitioner's injury. The labor court establishes strict employer liability for pecuniary restitution, medical costs, and moral pain. (Jurisprudential Appeal TRT-2021-0001).","In judicial appeal #0001, The respondent corporation neglected statutory safety obligations under Article 157 of the Labor Regulations, which was the proximate cause of petitioner's injury. The labor court establishes strict employer liability for pecuniary restitution, medical costs, and moral pain. (Jurisprudential Appeal TRT-2021-0001).",1
LEGAL_001,legal,D3_BMX_Hybrid,Tier1_Static,0.5036,0.5036,0.0,0.75,0.7637,0.75,True,True,True,1,"The defendant employer failed to provide adequate occupational safety equipment mandated by Article 157 of the Labor Code, directly causing the plaintiff's industrial injury. The regional labor tribunal holds the employer strictly liable for compensatory damages, medical reimbursement, and moral damages. (Case Record BR-TRT-2021-0001).","The respondent corporation neglected statutory safety obligations under Article 157 of the Labor Regulations, which was the proximate cause of petitioner's injury. The labor court establishes strict employer liability for pecuniary restitution, medical costs, and moral pain. (Jurisprudential Appeal TRT-2021-0001).","The respondent corporation neglected statutory safety obligations under Article 157 of the Labor Regulations, which was the proximate cause of petitioner's injury. The labor court establishes strict employer liability for pecuniary restitution, medical costs, and moral pain. (Jurisprudential Appeal TRT-2021-0001).",0
LEGAL_001,legal,D3_BMX_Hybrid,Tier2_Saliency,0.5036,0.5036,0.0,0.75,0.7637,0.75,True,True,True,1,"The defendant employer failed to provide adequate occupational safety equipment mandated by Article 157 of the Labor Code, directly causing the plaintiff's industrial injury. The regional labor tribunal holds the employer strictly liable for compensatory damages, medical reimbursement, and moral damages. (Case Record BR-TRT-2021-0001).","The respondent corporation neglected statutory safety obligations under Article 157 of the Labor Regulations, which was the proximate cause of petitioner's injury. The labor court establishes strict employer liability for pecuniary restitution, medical costs, and moral pain. (Jurisprudential Appeal TRT-2021-0001).","The respondent corporation neglected statutory safety obligations under Article 157 of the Labor Regulations, which was the proximate cause of petitioner's injury. The labor court establishes strict employer liability for pecuniary restitution, medical costs, and moral pain. (Jurisprudential Appeal TRT-2021-0001).",0
LEGAL_001,legal,D3_BMX_Hybrid,Corpus_Adversarial,0.5036,0.4941,0.0095,0.75,0.7664,0.75,True,True,True,2,"The defendant employer failed to provide adequate occupational safety equipment mandated by Article 157 of the Labor Code, directly causing the plaintiff's industrial injury. The regional labor tribunal holds the employer strictly liable for compensatory damages, medical reimbursement, and moral damages. (Case Record BR-TRT-2021-0001).","The respondent corporation neglected statutory safety obligations under Article 157 of the Labor Regulations, which was the proximate cause of petitioner's injury. The labor court establishes strict employer liability for pecuniary restitution, medical costs, and moral pain. (Jurisprudential Appeal TRT-2021-0001).","In judicial appeal #0001, The respondent corporation neglected statutory safety obligations under Article 157 of the Labor Regulations, which was the proximate cause of petitioner's injury. The labor court establishes strict employer liability for pecuniary restitution, medical costs, and moral pain. (Jurisprudential Appeal TRT-2021-0001).",1
LEGAL_001,legal,D4_ColBERT_MultiVector,Tier1_Static,0.6959,0.6959,0.0,0.75,0.7637,0.75,True,True,True,1,"The defendant employer failed to provide adequate occupational safety equipment mandated by Article 157 of the Labor Code, directly causing the plaintiff's industrial injury. The regional labor tribunal holds the employer strictly liable for compensatory damages, medical reimbursement, and moral damages. (Case Record BR-TRT-2021-0001).","The respondent corporation neglected statutory safety obligations under Article 157 of the Labor Regulations, which was the proximate cause of petitioner's injury. The labor court establishes strict employer liability for pecuniary restitution, medical costs, and moral pain. (Jurisprudential Appeal TRT-2021-0001).","The respondent corporation neglected statutory safety obligations under Article 157 of the Labor Regulations, which was the proximate cause of petitioner's injury. The labor court establishes strict employer liability for pecuniary restitution, medical costs, and moral pain. (Jurisprudential Appeal TRT-2021-0001).",0
